"Participants","LinguisticStructure","Condition","ConditionEffectSize","StructureEffectScale"
20,0.09096,0.03792,0.1,0.15
20,0.00283,0.07225,0.1,0.15
20,0.23335,0.04675,0.1,0.15
20,0.04778,0.2433,0.1,0.15
20,0.13586,0.00176,0.1,0.15
20,0.22526,0.06527,0.1,0.15
20,0.11824,0.01896,0.1,0.15
20,0.33754,0.00727,0.1,0.15
20,0.27504,0.00335,0.1,0.15
20,0.03929,0.03821,0.1,0.15
20,0.1018,0.07999,0.1,0.15
20,0.20411,0.1365,0.1,0.15
20,0.1642,0.00745,0.1,0.15
20,0.20635,0.00823,0.1,0.15
20,0.0019,0.00409,0.1,0.15
20,0.84796,0.0328,0.1,0.15
20,0.07277,0.00079,0.1,0.15
20,0.55406,0.28493,0.1,0.15
20,0.26083,0.0276,0.1,0.15
20,0.05545,0.03007,0.1,0.15
20,0.36113,0.00164,0.1,0.15
20,0.00361,0.04648,0.1,0.15
20,0.0025,0.00871,0.1,0.15
20,0.00045,0.65615,0.1,0.15
20,0.0887,0.14443,0.1,0.15
20,0.03254,0.176,0.1,0.15
20,0.03861,0.2634,0.1,0.15
20,0.00156,0.0071,0.1,0.15
20,0.67276,0.01622,0.1,0.15
20,0.04074,0.00339,0.1,0.15
20,0.94095,0.32021,0.1,0.15
20,0.15602,0.33581,0.1,0.15
20,0.01333,0.00155,0.1,0.15
20,0.39123,0.13559,0.1,0.15
20,0.01121,0.00068,0.1,0.15
20,0.02978,0.15428,0.1,0.15
20,0.02401,0.02849,0.1,0.15
20,0.56075,0.02179,0.1,0.15
20,0.03709,0.39723,0.1,0.15
20,0.11088,0.00035,0.1,0.15
20,0.41955,0.00619,0.1,0.15
20,0.44701,0.00966,0.1,0.15
20,0.05296,0.01493,0.1,0.15
20,0.09066,0.06602,0.1,0.15
20,0.01661,0.01085,0.1,0.15
20,0.45413,0.21246,0.1,0.15
20,0.02918,0.06284,0.1,0.15
20,0.14183,0.00432,0.1,0.15
20,0.26141,0.01599,0.1,0.15
20,0.01029,0.00088,0.1,0.15
20,0.92114,0.03183,0.1,0.15
20,0.00254,0.01219,0.1,0.15
20,0.41529,0.21212,0.1,0.15
20,0.08603,0.05765,0.1,0.15
20,0.94993,0.06849,0.1,0.15
20,0.64305,0.26538,0.1,0.15
20,0.65212,0.00038,0.1,0.15
20,0.05061,0.07982,0.1,0.15
20,0.61592,0.0809,0.1,0.15
20,0.04173,0.04486,0.1,0.15
20,0.72894,0.00725,0.1,0.15
20,0.03468,0.57832,0.1,0.15
20,0.08553,0.0331,0.1,0.15
